JANELA,MONEYNESS_ALVO,STOP_CALIBRADO,CENARIO,DIAS,DTE_D0,DTE_RESTANTE,RETORNO_SPOT,N_CONTRATOS,CUSTO_OPCAO,PNL_OPCAO,PNL_SPOT,RET_OPCAO,RET_SPOT,VANTAGEM
Jan→Abr (alta gradual),0.05,0.1,III,60.0,106.96,45.96,0.050622957966881155,1.3990562086206366,13661.783877180516,13398.647420527479,5062.295796688116,0.1339864742052748,0.050622957966881155,0.08336351623839364
Jan→Abr (alta gradual),0.05,0.1,I,75.0,106.96,32.0,0.025530766416064846,1.3990562086206366,13661.783877180516,-6295.752938792866,2553.0766416064844,-0.06295752938792866,0.025530766416064846,-0.08848829580399349
Jan→Abr (alta gradual),0.05,0.1,II,75.0,106.96,32.0,0.025530766416064846,1.3990562086206366,13661.783877180516,5782.1422289547845,2553.0766416064844,0.05782142228954785,0.025530766416064846,0.032290655873483
Jan→Abr (alta gradual),0.05,0.1,III,75.0,106.96,32.0,0.025530766416064846,1.3990562086206366,13661.783877180516,5866.018765496708,2553.0766416064844,0.058660187654967076,0.025530766416064846,0.03312942123890223
Jan→Abr (alta gradual),0.05,0.1,I,90.0,106.96,17.0,0.0642966323159607,1.3990562086206366,13661.783877180516,-1063.282718551683,6429.66323159607,-0.01063282718551683,0.0642966323159607,-0.07492945950147752
Jan→Abr (alta gradual),0.05,0.1,II,90.0,106.96,17.0,0.0642966323159607,1.3990562086206366,13661.783877180516,17073.04699523138,6429.66323159607,0.1707304699523138,0.0642966323159607,0.10643383763635308
Jan→Abr (alta gradual),0.05,0.1,III,90.0,106.96,17.0,0.0642966323159607,1.3990562086206366,13661.783877180516,18136.181031564825,6429.66323159607,0.18136181031564824,0.0642966323159607,0.11706517799968755
Jan→Abr (alta gradual),0.05,0.15,I,0.0,106.96,106.96,0.0,2.8193740081941625,27531.187190015997,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.15,II,0.0,106.96,106.96,0.0,2.8193740081941625,27531.187190015997,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.15,III,0.0,106.96,106.96,0.0,2.8193740081941625,27531.187190015997,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.15,I,15.0,106.96,91.96,0.011877853007351964,2.8193740081941625,27531.187190015997,-2636.1146976615446,1187.7853007351964,-0.026361146976615447,0.011877853007351964,-0.03823899998396741
Jan→Abr (alta gradual),0.05,0.15,II,15.0,106.96,91.96,0.011877853007351964,2.8193740081941625,27531.187190015997,5091.74876296744,1187.7853007351964,0.0509174876296744,0.011877853007351964,0.03903963462232243
Jan→Abr (alta gradual),0.05,0.15,III,15.0,106.96,91.96,0.011877853007351964,2.8193740081941625,27531.187190015997,5108.769575966043,1187.7853007351964,0.05108769575966043,0.011877853007351964,0.03920984275230847
Jan→Abr (alta gradual),0.05,0.15,I,30.0,106.96,76.96,0.07341068513698343,2.8193740081941625,27531.187190015997,28771.711753621425,7341.068513698343,0.28771711753621426,0.07341068513698343,0.21430643239923083
Jan→Abr (alta gradual),0.05,0.15,II,30.0,106.96,76.96,0.07341068513698343,2.8193740081941625,27531.187190015997,40641.01840727369,7341.068513698343,0.4064101840727369,0.07341068513698343,0.3329994989357534
Jan→Abr (alta gradual),0.05,0.15,III,30.0,106.96,76.96,0.07341068513698343,2.8193740081941625,27531.187190015997,43433.86867668876,7341.068513698343,0.43433868676688764,0.07341068513698343,0.3609280016299042
